Number of words,75205
Number of unique words,2311
Average word frequency,32.542190
Entropy,6.149864

Word,Frequency,Proportion,Entropy Term
whats,3,0.000040,0.000404
heat,8,0.000106,0.000973
professional,5,0.000066,0.000639
reasonable,18,0.000239,0.001996
priced,14,0.000186,0.001599
force,24,0.000319,0.002569
afford,6,0.000080,0.000753
disabled,3,0.000040,0.000404
food,7,0.000093,0.000864
large,78,0.001037,0.007127
match,17,0.000226,0.001898
added,13,0.000173,0.001497
extra,54,0.000718,0.005198
memory,9,0.000120,0.001081
foam,17,0.000226,0.001898
insert,13,0.000173,0.001497
helps,19,0.000253,0.002093
reason,46,0.000612,0.004526
coming,13,0.000173,0.001497
stitch,3,0.000040,0.000404
dressed,3,0.000040,0.000404
replace,21,0.000279,0.002285
stiff,36,0.000479,0.003659
legs,10,0.000133,0.001187
fair,8,0.000106,0.000973
reviews,66,0.000878,0.006177
kick,8,0.000106,0.000973
china,9,0.000120,0.001081
percent,3,0.000040,0.000404
orders,6,0.000080,0.000753
credit,3,0.000040,0.000404
takes,18,0.000239,0.001996
pounding,4,0.000053,0.000523
active,15,0.000199,0.001699
past,45,0.000598,0.004441
miles,59,0.000785,0.005610
breaking,21,0.000279,0.002285
suspect,3,0.000040,0.000404
wellbr,7,0.000093,0.000864
fathers,14,0.000186,0.001599
bueno,5,0.000066,0.000639
reading,18,0.000239,0.001996
ordering,52,0.000691,0.005031
online,51,0.000678,0.004948
somewhat,61,0.000811,0.005773
closet,5,0.000066,0.000639
expectedbr,7,0.000093,0.000864
prompt,9,0.000120,0.001081
surprisingly,9,0.000120,0.001081
reorder,8,0.000106,0.000973
sure,102,0.001356,0.008956
stock,13,0.000173,0.001497
live,16,0.000213,0.001799
beast,3,0.000040,0.000404
muy,14,0.000186,0.001599
bien,7,0.000093,0.000864
easy,72,0.000957,0.006655
snickers,4,0.000053,0.000523
owned,102,0.001356,0.008956
easier,8,0.000106,0.000973
tell,37,0.000492,0.003748
baby,17,0.000226,0.001898
blue,37,0.000492,0.003748
cause,33,0.000439,0.003393
expecting,27,0.000359,0.002848
remember,12,0.000160,0.001395
pricey,15,0.000199,0.001699
couple,73,0.000971,0.006734
oh,24,0.000319,0.002569
beaten,3,0.000040,0.000404
