Id,Label,timeset,modularity_class,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering
419,damaged,,0,0,0,0,0,0,0,0,0,0
420,confortable,,0,0,0,0,0,0,0,0,0,0
421,bad,,0,0,0,0,0,0,0,0,0,0
422,defect,,0,0,0,0,0,0,0,0,0,0
423,impact,,0,0,0,0,0,0,0,0,0,0
424,premium,,0,0,0,0,0,0,0,0,0,0
425,materials,,0,0,0,0,0,0,0,0,0,0
426,built,,0,0,0,0,0,0,0,0,0,0
427,liner,,0,0,0,0,0,0,0,0,0,0
428,blister,,0,0,0,0,0,0,0,0,0,0
429,causing,,0,0,0,0,0,0,0,0,0,0
430,expect,,0,0,0,0,0,0,0,0,0,0
431,ask,,0,0,0,0,0,0,0,0,0,0
432,arch,,0,0,0,0,0,0,0,0,0,0
433,youd,,0,0,0,0,0,0,0,0,0,0
434,longer,,0,0,0,0,0,0,0,0,0,0
435,eventually,,0,0,0,0,0,0,0,0,0,0
436,feels,,0,0,0,0,0,0,0,0,0,0
437,youre,,0,0,0,0,0,0,0,0,0,0
438,boyfriend,,0,0,0,0,0,0,0,0,0,0
439,boss,,0,0,0,0,0,0,0,0,0,0
440,thrilled,,0,0,0,0,0,0,0,0,0,0
441,goes,,0,0,0,0,0,0,0,0,0,0
442,womans,,0,0,0,0,0,0,0,0,0,0
443,eye,,0,0,0,0,0,0,0,0,0,0
444,fat,,0,0,0,0,0,0,0,0,0,0
445,anytime,,0,0,0,0,0,0,0,0,0,0
446,suggest,,0,0,0,0,0,0,0,0,0,0
447,ðŸ˜,,0,0,0,0,0,0,0,0,0,0
448,pool,,0,0,0,0,0,0,0,0,0,0
449,trying,,0,0,0,0,0,0,0,0,0,0
450,slippers,,0,0,0,0,0,0,0,0,0,0
451,ladies,,0,0,0,0,0,0,0,0,0,0
452,kind,,0,0,0,0,0,0,0,0,0,0
453,work,,0,0,0,0,0,0,0,0,0,0
454,months,,0,0,0,0,0,0,0,0,0,0
455,apart,,0,0,0,0,0,0,0,0,0,0
456,boots,,0,0,0,0,0,0,0,0,0,0
457,goadome,,0,0,0,0,0,0,0,0,0,0
458,twice,,0,0,0,0,0,0,0,0,0,0
459,trips,,0,0,0,0,0,0,0,0,0,0
460,count,,0,0,0,0,0,0,0,0,0,0
461,boot,,0,0,0,0,0,0,0,0,0,0
462,construction,,0,0,0,0,0,0,0,0,0,0
463,sites,,0,0,0,0,0,0,0,0,0,0
464,worn,,0,0,0,0,0,0,0,0,0,0
465,fall,,0,0,0,0,0,0,0,0,0,0
466,concern,,0,0,0,0,0,0,0,0,0,0
467,job,,0,0,0,0,0,0,0,0,0,0
468,site,,0,0,0,0,0,0,0,0,0,0
469,hope,,0,0,0,0,0,0,0,0,0,0
470,telling,,0,0,0,0,0,0,0,0,0,0
471,makes,,0,0,0,0,0,0,0,0,0,0
472,red,,0,0,0,0,0,0,0,0,0,0
473,market,,0,0,0,0,0,0,0,0,0,0
474,key,,0,0,0,0,0,0,0,0,0,0
475,bubble,,0,0,0,0,0,0,0,0,0,0
476,ventilation,,0,0,0,0,0,0,0,0,0,0
477,hot,,0,0,0,0,0,0,0,0,0,0
478,hopefully,,0,0,0,0,0,0,0,0,0,0
479,brand,,0,0,0,0,0,0,0,0,0,0
480,son,,1,217,339,556,2,0.666667,0.75,3.974759,0.026673,0.783333
481,stretched,,0,0,0,0,0,0,0,0,0,0
482,personally,,0,0,0,0,0,0,0,0,0,0
483,acg,,0,0,0,0,0,0,0,0,0,0
484,tech,,0,0,0,0,0,0,0,0,0,0
485,material,,0,0,0,0,0,0,0,0,0,0
486,resistant,,0,0,0,0,0,0,0,0,0,0
487,weather,,0,0,0,0,0,0,0,0,0,0
488,stains,,0,0,0,0,0,0,0,0,0,0
489,spots,,0,0,0,0,0,0,0,0,0,0
490,lasting,,0,0,0,0,0,0,0,0,0,0
491,winter,,0,0,0,0,0,0,0,0,0,0
492,loves,,1,315,134,449,2,0.666667,0.75,5.363748,0.024617,0.723333
493,decided,,0,0,0,0,0,0,0,0,0,0
494,loosen,,0,0,0,0,0,0,0,0,0,0
495,rubbing,,0,0,0,0,0,0,0,0,0,0
496,bone,,0,0,0,0,0,0,0,0,0,0
497,ate,,0,0,0,0,0,0,0,0,0,0
498,kept,,0,0,0,0,0,0,0,0,0,0
499,dry,,0,0,0,0,0,0,0,0,0,0
