Number of pairs,46245.000000
Number of unique pairs,5867
Average pair frequency,7.882223
Pair entropy,8.084944

Pair,Frequency,Proportion,Entropy Term,Mutual Information
great like,19.000000,0.000411,0.003204,0.065106
great did,5.000000,0.000108,0.000987,0.455698
great years,4.000000,0.000086,0.000809,0.220434
great light,15.000000,0.000324,0.002606,1.030160
great product,79.000000,0.001708,0.010886,2.598547
great shoe,317.000000,0.006855,0.034156,2.152267
great shoes,361.000000,0.007806,0.037882,1.650770
great expected,17.000000,0.000368,0.002907,0.654657
great thanks,12.000000,0.000259,0.002143,1.349629
great sneaker,17.000000,0.000368,0.002907,2.051953
great nike,16.000000,0.000346,0.002757,0.068437
great love,57.000000,0.001233,0.008257,0.747096
great colors,5.000000,0.000108,0.000987,0.505709
great run,10.000000,0.000216,0.001825,0.502509
great small,6.000000,0.000130,0.001161,-0.452429
great size,14.000000,0.000303,0.002453,-0.563161
great narrow,5.000000,0.000108,0.000987,-0.225179
great feet,19.000000,0.000411,0.003204,0.482037
great really,12.000000,0.000259,0.002143,0.267719
great wide,3.000000,0.000065,0.000626,-0.448322
great fit,142.000000,0.003071,0.017766,1.608936
great nikes,6.000000,0.000130,0.001161,0.550501
great order,6.000000,0.000130,0.001161,0.395552
great design,6.000000,0.000130,0.001161,1.010499
great awesome,17.000000,0.000368,0.002907,0.995515
great color,31.000000,0.000670,0.004899,1.502378
great perfect,23.000000,0.000497,0.003783,0.571363
great lot,6.000000,0.000130,0.001161,0.720607
great support,54.000000,0.001168,0.007885,2.123970
great fits,15.000000,0.000324,0.002606,0.882736
great little,19.000000,0.000411,0.003204,0.636737
great needed,3.000000,0.000065,0.000626,0.512140
great need,4.000000,0.000086,0.000809,0.179130
great pair,43.000000,0.000930,0.006491,0.897185
great sneakers,25.000000,0.000541,0.004067,1.551875
great came,12.000000,0.000259,0.002143,1.266248
great ankle,6.000000,0.000130,0.001161,1.307070
great ordered,6.000000,0.000130,0.001161,0.057714
great old,3.000000,0.000065,0.000626,-0.325899
great disappointed,4.000000,0.000086,0.000809,1.221547
great bought,11.000000,0.000238,0.001985,0.101799
great daughter,4.000000,0.000086,0.000809,0.488234
great day,4.000000,0.000086,0.000809,-0.542509
great air,3.000000,0.000065,0.000626,-0.366907
great thank,5.000000,0.000108,0.000987,0.558353
great kicks,6.000000,0.000130,0.001161,1.953697
great looks,17.000000,0.000368,0.002907,1.354390
great purchase,13.000000,0.000281,0.002299,1.346290
great yes,3.000000,0.000065,0.000626,1.866685
great feel,25.000000,0.000541,0.004067,1.232758
great walk,4.000000,0.000086,0.000809,0.697692
great different,5.000000,0.000108,0.000987,0.592720
great super,10.000000,0.000216,0.001825,1.066929
great shipping,9.000000,0.000195,0.001663,0.912243
great tight,3.000000,0.000065,0.000626,-0.504337
great time,15.000000,0.000324,0.002606,0.522951
great wear,13.000000,0.000281,0.002299,-0.131410
great better,4.000000,0.000086,0.000809,0.004545
great satisfied,3.000000,0.000065,0.000626,0.590392
great box,3.000000,0.000065,0.000626,-0.142647
great think,3.000000,0.000065,0.000626,0.282565
great excellent,20.000000,0.000432,0.003350,1.115859
great use,3.000000,0.000065,0.000626,-0.197008
great comfort,26.000000,0.000562,0.004207,2.241379
great customer,4.000000,0.000086,0.000809,2.154368
great service,24.000000,0.000519,0.003925,2.847515
great delivery,6.000000,0.000130,0.001161,0.925702
great stability,5.000000,0.000108,0.000987,2.059057
great cushioning,5.000000,0.000108,0.000987,1.705417
great happy,10.000000,0.000216,0.001825,0.596223
great cushion,3.000000,0.000065,0.000626,1.194592
great weight,4.000000,0.000086,0.000809,0.737301
great fantastic,3.000000,0.000065,0.000626,1.355860
great definitely,3.000000,0.000065,0.000626,0.117486
great money,4.000000,0.000086,0.000809,0.925702
great style,16.000000,0.000346,0.002757,1.548232
great good,49.000000,0.001060,0.007258,0.624179
great perfectly,3.000000,0.000065,0.000626,-0.108552
great toe,3.000000,0.000065,0.000626,0.068006
great person,5.000000,0.000108,0.000987,1.604321
great comfortable,100.000000,0.002162,0.013270,1.167929
great theyre,6.000000,0.000130,0.001161,0.638020
great stylish,4.000000,0.000086,0.000809,0.913581
great deal,10.000000,0.000216,0.001825,2.241379
great fake,3.000000,0.000065,0.000626,1.132716
great foot,6.000000,0.000130,0.001161,-0.159267
great cross,3.000000,0.000065,0.000626,1.953697
great training,6.000000,0.000130,0.001161,1.887739
great grip,10.000000,0.000216,0.001825,2.044019
great gym,7.000000,0.000151,0.001331,1.485318
great wearing,4.000000,0.000086,0.000809,-0.070256
great running,45.000000,0.000973,0.006748,1.794365
great help,3.000000,0.000065,0.000626,1.283539
great ive,4.000000,0.000086,0.000809,-0.378006
great compliments,5.000000,0.000108,0.000987,0.882736
great second,3.000000,0.000065,0.000626,0.282565
great slightly,3.000000,0.000065,0.000626,0.825232
great right,4.000000,0.000086,0.000809,-0.028871
great early,3.000000,0.000065,0.000626,1.677443
great trainers,3.000000,0.000065,0.000626,1.643542
great arrived,4.000000,0.000086,0.000809,0.376594
great seller,18.000000,0.000389,0.003056,2.182538
great basketball,8.000000,0.000173,0.001499,1.221547
great comfy,8.000000,0.000173,0.001499,0.937972
great hard,4.000000,0.000086,0.000809,0.622891
great looking,59.000000,0.001276,0.008502,2.319882
great true,8.000000,0.000173,0.001499,1.362129
great larger,3.000000,0.000065,0.000626,0.132084
great recommend,4.000000,0.000086,0.000809,-0.065741
great ok,3.000000,0.000065,0.000626,0.662713
great year,4.000000,0.000086,0.000809,0.117486
great walking,10.000000,0.000216,0.001825,1.033776
great long,5.000000,0.000108,0.000987,0.385081
great feeling,3.000000,0.000065,0.000626,1.712535
great felt,4.000000,0.000086,0.000809,0.925702
great went,3.000000,0.000065,0.000626,0.688030
great husband,5.000000,0.000108,0.000987,0.505709
great quick,3.000000,0.000065,0.000626,0.796244
great value,13.000000,0.000281,0.002299,2.955728
great delivered,3.000000,0.000065,0.000626,0.933865
great wanted,4.000000,0.000086,0.000809,0.449619
great didnt,3.000000,0.000065,0.000626,-0.114316
great solid,3.000000,0.000065,0.000626,1.433821
great best,10.000000,0.000216,0.001825,0.699636
great loved,10.000000,0.000216,0.001825,0.915993
great extremely,5.000000,0.000108,0.000987,0.940444
great runs,5.000000,0.000108,0.000987,0.892126
great pleased,3.000000,0.000065,0.000626,0.675291
great workout,3.000000,0.000065,0.000626,1.825863
great price,116.000000,0.002508,0.015020,2.746474
great bad,3.000000,0.000065,0.000626,0.470028
great arch,17.000000,0.000368,0.002907,1.755460
great feels,9.000000,0.000195,0.001663,1.479912
great boyfriend,3.000000,0.000065,0.000626,1.407153
great work,5.000000,0.000108,0.000987,0.379415
great boots,4.000000,0.000086,0.000809,1.461220
great boot,5.000000,0.000108,0.000987,2.029204
great job,10.000000,0.000216,0.001825,2.377511
great makes,4.000000,0.000086,0.000809,1.083926
great brand,3.000000,0.000065,0.000626,0.662713
great son,23.000000,0.000497,0.003783,0.780835
great material,4.000000,0.000086,0.000809,1.014933
great loves,12.000000,0.000259,0.002143,0.103097
great decided,3.000000,0.000065,0.000626,1.610752
great quality,34.000000,0.000735,0.005305,1.911806
great wish,3.000000,0.000065,0.000626,0.544930
great amazon,5.000000,0.000108,0.000987,0.606805
great lightweight,5.000000,0.000108,0.000987,1.066929
great exactly,5.000000,0.000108,0.000987,0.621091
great wait,3.000000,0.000065,0.000626,1.579003
great fast,16.000000,0.000346,0.002757,1.246445
great black,4.000000,0.000086,0.000809,0.587489
great casual,4.000000,0.000086,0.000809,1.721503
great summer,4.000000,0.000086,0.000809,1.461220
great complaints,3.000000,0.000065,0.000626,1.216098
great authentic,4.000000,0.000086,0.000809,1.461220
great thing,3.000000,0.000065,0.000626,0.688030
great reasonable,3.000000,0.000065,0.000626,2.154368
great easy,4.000000,0.000086,0.000809,1.055755
great retro,4.000000,0.000086,0.000809,2.287899
great experience,9.000000,0.000195,0.001663,2.616991
great kids,5.000000,0.000108,0.000987,1.726924
great gift,6.000000,0.000130,0.001161,1.216098
great durable,4.000000,0.000086,0.000809,1.127729
great choice,4.000000,0.000086,0.000809,1.931224
great especially,4.000000,0.000086,0.000809,1.525759
great likes,3.000000,0.000065,0.000626,0.782059
great item,13.000000,0.000281,0.002299,2.207011
great gotten,3.000000,0.000065,0.000626,1.407153
great fitting,5.000000,0.000108,0.000987,1.972046
great took,3.000000,0.000065,0.000626,1.112914
great indoor,3.000000,0.000065,0.000626,1.786643
great stuff,3.000000,0.000065,0.000626,2.049007
great traction,16.000000,0.000346,0.002757,2.711383
great course,8.000000,0.000173,0.001499,1.594752
great jordan,4.000000,0.000086,0.000809,1.158034
great cleat,5.000000,0.000108,0.000987,2.611126
great golf,38.000000,0.000822,0.005838,1.743071
great condition,12.000000,0.000259,0.002143,2.539213
great workouts,4.000000,0.000086,0.000809,2.387982
great sandals,10.000000,0.000216,0.001825,1.986032
great sandal,4.000000,0.000086,0.000809,1.748902
great slides,6.000000,0.000130,0.001161,1.976686
great soccer,3.000000,0.000065,0.000626,1.093496
great transaction,6.000000,0.000130,0.001161,2.847515
great idea,4.000000,0.000086,0.000809,2.693364
great styling,3.000000,0.000065,0.000626,3.098829
great game,3.000000,0.000065,0.000626,1.712535
great alternative,3.000000,0.000065,0.000626,3.946127
great golfing,5.000000,0.000108,0.000987,2.847515
light nice,5.000000,0.000108,0.000987,1.059782
light look,8.000000,0.000173,0.001499,1.857927
light like,11.000000,0.000238,0.001985,1.662655
light great,10.000000,0.000216,0.001825,0.624695
light shoe,9.000000,0.000195,0.001663,0.734682
light shoes,6.000000,0.000130,0.001161,-0.302255
light love,3.000000,0.000065,0.000626,-0.053250
light feet,7.000000,0.000151,0.001331,1.627601
light fit,6.000000,0.000130,0.001161,0.588962
light awesome,3.000000,0.000065,0.000626,1.405007
light color,3.000000,0.000065,0.000626,1.311096
light perfect,6.000000,0.000130,0.001161,1.371721
light support,6.000000,0.000130,0.001161,2.070838
light feel,7.000000,0.000151,0.001331,2.103885
light wear,7.000000,0.000151,0.001331,1.393643
light weight,74.000000,0.001600,0.010301,5.799165
light good,17.000000,0.000368,0.002907,1.709665
light comfortable,47.000000,0.001016,0.007004,2.556999
light running,4.000000,0.000086,0.000809,1.518090
light comfy,6.000000,0.000130,0.001161,2.794383
light easy,3.000000,0.000065,0.000626,2.912166
light blue,4.000000,0.000086,0.000809,3.865596
light golf,3.000000,0.000065,0.000626,1.348190
light feather,4.000000,0.000086,0.000809,6.090220
product nice,10.000000,0.000216,0.001825,1.659919
product did,3.000000,0.000065,0.000626,1.995956
product great,18.000000,0.000389,0.003056,1.119471
product shoe,3.000000,0.000065,0.000626,-0.456940
product shoes,9.000000,0.000195,0.001663,0.010199
product expected,8.000000,0.000173,0.001499,1.951968
product thanks,3.000000,0.000065,0.000626,2.014418
product nike,5.000000,0.000108,0.000987,0.956369
product love,7.000000,0.000151,0.001331,0.701037
product size,6.000000,0.000130,0.001161,0.640623
product fit,7.000000,0.000151,0.001331,0.650102
product perfect,4.000000,0.000086,0.000809,0.873246
product half,3.000000,0.000065,0.000626,1.627762
product time,7.000000,0.000151,0.001331,1.811893
product excellent,5.000000,0.000108,0.000987,1.780647
product service,6.000000,0.000130,0.001161,3.512303
product delivery,3.000000,0.000065,0.000626,2.283638
product happy,3.000000,0.000065,0.000626,1.443333
product good,12.000000,0.000259,0.002143,1.268348
product comfortable,3.000000,0.000065,0.000626,-0.287546
product arrived,6.000000,0.000130,0.001161,2.833142
product seller,3.000000,0.000065,0.000626,2.441862
product delivered,3.000000,0.000065,0.000626,2.984948
product best,4.000000,0.000086,0.000809,1.834428
product price,10.000000,0.000216,0.001825,2.346551
product quality,6.000000,0.000130,0.001161,2.228288
product exactly,3.000000,0.000065,0.000626,2.161348
product advertised,4.000000,0.000086,0.000809,3.949517
product described,6.000000,0.000130,0.001161,3.876946
product condition,3.000000,0.000065,0.000626,3.204002
inner lining,3.000000,0.000065,0.000626,8.033726
make look,6.000000,0.000130,0.001161,2.357980
make like,5.000000,0.000108,0.000987,1.661933
make great,3.000000,0.000065,0.000626,0.208457
make shoe,5.000000,0.000108,0.000987,0.934631
make shoes,5.000000,0.000108,0.000987,0.303159
make size,5.000000,0.000108,0.000987,1.339048
make feet,5.000000,0.000108,0.000987,2.078865
make fit,3.000000,0.000065,0.000626,0.683550
make order,5.000000,0.000108,0.000987,3.145059
make feel,5.000000,0.000108,0.000987,2.555148
make better,3.000000,0.000065,0.000626,2.648692
make happy,3.000000,0.000065,0.000626,2.324079
make good,3.000000,0.000065,0.000626,0.762799
make comfortable,6.000000,0.000130,0.001161,1.286347
make sure,19.000000,0.000411,0.003204,5.197422
shoe nice,25.000000,0.000541,0.004067,0.740475
shoe look,6.000000,0.000130,0.001161,-0.358500
shoe like,28.000000,0.000605,0.004486,0.668220
shoe did,7.000000,0.000151,0.001331,1.007519
shoe years,10.000000,0.000216,0.001825,1.352073
shoe great,99.000000,0.002141,0.013158,0.988485
shoe light,15.000000,0.000324,0.002606,1.245508
shoe shoes,21.000000,0.000454,0.003495,-0.978237
shoe expected,18.000000,0.000389,0.003056,0.927164
shoe nike,19.000000,0.000411,0.003204,0.455635
shoe love,20.000000,0.000432,0.003350,-0.084875
shoe colors,6.000000,0.000130,0.001161,0.903379
shoe run,12.000000,0.000259,0.002143,0.900179
shoe small,27.000000,0.000584,0.004347,1.266997
shoe size,64.000000,0.001384,0.009110,1.172013
shoe narrow,21.000000,0.000454,0.003495,1.425254
shoe feet,8.000000,0.000173,0.001499,-0.167612
shoe really,15.000000,0.000324,0.002606,0.706211
shoe wide,8.000000,0.000173,0.001499,0.747855
shoe bigger,4.000000,0.000086,0.000809,0.571036
