Id,Label,timeset,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering
460,making,,0,0,0,0,0,0,0
461,flipflop,,0,0,0,0,0,0,0
462,thinks,,0,0,0,0,0,0,0
463,snug,,0,0,0,0,0,0,0
464,terribly,,0,0,0,0,0,0,0
465,actually,,0,0,0,0,0,0,0
466,caught,,0,0,0,0,0,0,0
467,throw,,0,0,0,0,0,0,0
468,forward,,0,0,0,0,0,0,0
469,stayed,,0,0,0,0,0,0,0
470,took,,0,0,0,0,0,0,0
471,sent,,0,0,0,0,0,0,0
472,allow,,0,0,0,0,0,0,0
473,happen,,0,0,0,0,0,0,0
474,turn,,0,0,0,0,0,0,0
475,inward,,0,0,0,0,0,0,0
476,problems,,0,0,0,0,0,0,0
477,heels,,0,0,0,0,0,0,0
478,plan,,0,0,0,0,0,0,0
479,standing,,0,0,0,0,0,0,0
480,edge,,0,0,0,0,0,0,0
481,wouldnt,,0,0,0,0,0,0,0
482,unable,,0,0,0,0,0,0,0
483,received,,0,0,0,0,0,0,0
484,promised,,0,0,0,0,0,0,0
485,business,,0,0,0,0,0,0,0
486,seller,,0,0,0,0,0,0,0
487,cushion,,0,0,0,0,0,0,0
488,leave,,0,0,0,0,0,0,0
489,clothes,,0,0,0,0,0,0,0
490,fast,,0,0,0,0,0,0,0
491,life,,0,0,0,0,0,0,0
492,backup,,0,0,0,0,0,0,0
493,happens,,0,0,0,0,0,0,0
494,wrapped,,0,0,0,0,0,0,0
495,shes,,0,0,0,0,0,0,0
496,skecher,,0,0,0,0,0,0,0
497,sneakers,,0,0,0,0,0,0,0
498,surprised,,0,0,0,0,0,0,0
499,update,,0,0,0,0,0,0,0
500,missed,,0,0,0,0,0,0,0
501,return,,0,0,0,0,0,0,0
502,date,,0,0,0,0,0,0,0
503,stuck,,0,0,0,0,0,0,0
504,poor,,0,0,0,0,0,0,0
505,quality,,0,0,0,0,0,0,0
506,customer,,0,0,0,0,0,0,0
507,extremely,,0,0,0,0,0,0,0
508,lovely,,0,0,0,0,0,0,0
509,absolutely,,0,0,0,0,0,0,0
510,sandles,,0,0,0,0,0,0,0
511,type,,0,0,0,0,0,0,0
512,chafe,,0,0,0,0,0,0,0
513,holds,,0,0,0,0,0,0,0
514,technically,,0,0,0,0,0,0,0
515,pass,,0,0,0,0,0,0,0
516,formal,,0,0,0,0,0,0,0
517,needs,,0,0,0,0,0,0,0
518,forces,,0,0,0,0,0,0,0
519,platform,,0,0,0,0,0,0,0
520,having,,0,0,0,0,0,0,0
521,wonder,,0,0,0,0,0,0,0
522,cause,,0,0,0,0,0,0,0
523,pressure,,0,0,0,0,0,0,0
524,press,,0,0,0,0,0,0,0
525,town,,0,0,0,0,0,0,0
526,key,,0,0,0,0,0,0,0
527,piece,,0,0,0,0,0,0,0
528,uncomfortable,,0,0,0,0,0,0,0
529,cali,,0,0,0,0,0,0,0
530,womens,,0,0,0,0,0,0,0
531,oh,,0,0,0,0,0,0,0
532,owned,,0,0,0,0,0,0,0
533,case,,0,0,0,0,0,0,0
534,comfortablei,,0,0,0,0,0,0,0
535,shoesi,,0,0,0,0,0,0,0
536,warm,,0,0,0,0,0,0,0
537,marshmallows,,0,0,0,0,0,0,0
538,course,,0,0,0,0,0,0,0
539,rise,,0,0,0,0,0,0,0
540,ready,,0,0,0,0,0,0,0
541,needed,,0,0,0,0,0,0,0
542,strange,,0,0,0,0,0,0,0
543,comments,,0,0,0,0,0,0,0
544,thanks,,0,0,0,0,0,0,0
545,shipping,,0,0,0,0,0,0,0
546,pictured,,0,0,0,0,0,0,0
547,ill,,0,0,0,0,0,0,0
548,cushions,,0,0,0,0,0,0,0
549,getting,,0,0,0,0,0,0,0
550,chance,,0,0,0,0,0,0,0
551,wait,,0,0,0,0,0,0,0
552,weather,,0,0,0,0,0,0,0
553,allows,,0,0,0,0,0,0,0
554,round,,0,0,0,0,0,0,0
555,base,,0,0,0,0,0,0,0
556,pronounced,,0,0,0,0,0,0,0
557,sorry,,0,0,0,0,0,0,0
558,send,,0,0,0,0,0,0,0
559,wont,,0,0,0,0,0,0,0
560,fall,,0,0,0,0,0,0,0
561,ordering,,0,0,0,0,0,0,0
562,special,,0,0,0,0,0,0,0
563,classroom,,0,0,0,0,0,0,0
564,allowed,,0,0,0,0,0,0,0
565,minutes,,0,0,0,0,0,0,0
566,knot,,0,0,0,0,0,0,0
567,quickly,,0,0,0,0,0,0,0
568,away,,0,0,0,0,0,0,0
569,bothered,,0,0,0,0,0,0,0
570,commercial,,0,0,0,0,0,0,0
571,suspect,,0,0,0,0,0,0,0
572,peoples,,0,0,0,0,0,0,0
573,depending,,0,0,0,0,0,0,0
574,width,,0,0,0,0,0,0,0
575,minor,,0,0,0,0,0,0,0
576,sit,,0,0,0,0,0,0,0
577,correctly,,0,0,0,0,0,0,0
578,people,,0,0,0,0,0,0,0
579,insert,,0,0,0,0,0,0,0
580,mall,,0,0,0,0,0,0,0
581,dog,,0,0,0,0,0,0,0
582,plus,,0,0,0,0,0,0,0
583,trendy,,0,0,0,0,0,0,0
584,disney,,0,0,0,0,0,0,0
585,world,,0,0,0,0,0,0,0
586,trick,,0,0,0,0,0,0,0
587,today,,0,0,0,0,0,0,0
588,dressy,,0,0,0,0,0,0,0
589,wearings,,0,0,0,0,0,0,0
590,okay,,0,0,0,0,0,0,0
591,outside,,0,0,0,0,0,0,0
592,ones,,0,0,0,0,0,0,0
593,keeping,,0,0,0,0,0,0,0
594,quick,,0,0,0,0,0,0,0
595,offer,,0,0,0,0,0,0,0
596,terrible,,0,0,0,0,0,0,0
597,indoors,,0,0,0,0,0,0,0
598,gone,,0,0,0,0,0,0,0
599,normal,,0,0,0,0,0,0,0
600,floppy,,0,0,0,0,0,0,0
601,guess,,0,0,0,0,0,0,0
602,try,,0,0,0,0,0,0,0
603,expensive,,0,0,0,0,0,0,0
604,construction,,0,0,0,0,0,0,0
605,makes,,0,0,0,0,0,0,0
606,theres,,0,0,0,0,0,0,0
607,tend,,0,0,0,0,0,0,0
608,avoid,,0,0,0,0,0,0,0
609,speak,,0,0,0,0,0,0,0
610,considered,,0,0,0,0,0,0,0
611,cushiony,,0,0,0,0,0,0,0
612,likely,,0,0,0,0,0,0,0
613,run,,0,0,0,0,0,0,0
614,range,,0,0,0,0,0,0,0
615,uneven,,0,0,0,0,0,0,0
616,ground,,0,0,0,0,0,0,0
617,believe,,0,0,0,0,0,0,0
618,break,,0,0,0,0,0,0,0
619,terrific,,0,0,0,0,0,0,0
620,appear,,0,0,0,0,0,0,0
621,sizing,,0,0,0,0,0,0,0
622,rigid,,0,0,0,0,0,0,0
623,sound,,0,0,0,0,0,0,0
624,golden,,0,0,0,0,0,0,0
625,points,,0,0,0,0,0,0,0
626,tired,,0,0,0,0,0,0,0
627,dirty,,0,0,0,0,0,0,0
628,wash,,0,0,0,0,0,0,0
629,selection,,0,0,0,0,0,0,0
630,offers,,0,0,0,0,0,0,0
631,gray,,0,0,0,0,0,0,0
632,excited,,0,0,0,0,0,0,0
633,instant,,0,0,0,0,0,0,0
634,ago,,0,0,0,0,0,0,0
635,disappoint,,0,0,0,0,0,0,0
636,capris,,0,0,0,0,0,0,0
637,sundress,,0,0,0,0,0,0,0
638,versatile,,0,0,0,0,0,0,0
639,gorgeous,,0,0,0,0,0,0,0
640,reasonably,,0,0,0,0,0,0,0
641,arent,,0,0,0,0,0,0,0
642,suitable,,0,0,0,0,0,0,0
643,target,,0,0,0,0,0,0,0
644,sounds,,0,0,0,0,0,0,0
645,means,,0,0,0,0,0,0,0
646,hits,,0,0,0,0,0,0,0
647,cushioning,,0,0,0,0,0,0,0
648,bc,,0,0,0,0,0,0,0
649,squished,,0,0,0,0,0,0,0
650,somewhat,,0,0,0,0,0,0,0
651,scratchy,,0,0,0,0,0,0,0
652,extended,,0,0,0,0,0,0,0
