Number of words,102449
Number of unique words,2620
Average word frequency,39.102672
Entropy,6.250748

Word,Frequency,Proportion,Entropy Term
tan,6,0.000059,0.000571
exactly,87,0.000849,0.006005
heat,6,0.000059,0.000571
giving,25,0.000244,0.002030
wider,65,0.000634,0.004671
cushioned,31,0.000303,0.002452
hated,8,0.000078,0.000739
realize,13,0.000127,0.001139
outdoor,9,0.000088,0.000820
wedding,7,0.000068,0.000655
stable,7,0.000068,0.000655
areas,9,0.000088,0.000820
total,17,0.000166,0.001444
sparkle,18,0.000176,0.001519
danced,3,0.000029,0.000306
night,32,0.000312,0.002521
reading,25,0.000244,0.002030
reviews,97,0.000947,0.006592
instead,39,0.000381,0.002997
fun,59,0.000576,0.004296
outfit,14,0.000137,0.001216
fabulous,19,0.000185,0.001594
flattering,4,0.000039,0.000396
wedge,39,0.000381,0.002997
soul,6,0.000059,0.000571
delivered,21,0.000205,0.001741
colour,6,0.000059,0.000571
hanging,11,0.000107,0.000981
begin,10,0.000098,0.000901
chose,18,0.000176,0.001519
based,30,0.000293,0.002382
description,17,0.000166,0.001444
shorts,14,0.000137,0.001216
dresses,17,0.000166,0.001444
thembr,18,0.000176,0.001519
shipment,7,0.000068,0.000655
leather,100,0.000976,0.006766
awhile,12,0.000117,0.001060
mom,31,0.000303,0.002452
durable,102,0.000996,0.006882
fitting,32,0.000312,0.002521
broke,54,0.000527,0.003979
unhappy,6,0.000059,0.000571
tops,17,0.000166,0.001444
wears,172,0.001679,0.010727
skin,17,0.000166,0.001444
rough,34,0.000332,0.002659
gets,36,0.000351,0.002795
model,55,0.000537,0.004042
pinched,5,0.000049,0.000485
previously,17,0.000166,0.001444
cut,35,0.000342,0.002727
required,19,0.000185,0.001594
saturday,6,0.000059,0.000571
cheaper,29,0.000283,0.002313
prime,10,0.000098,0.000901
pay,36,0.000351,0.002795
attention,7,0.000068,0.000655
feedback,4,0.000039,0.000396
cutting,13,0.000127,0.001139
package,13,0.000127,0.001139
thank,100,0.000976,0.006766
heavier,22,0.000215,0.001814
impressed,21,0.000205,0.001741
wished,6,0.000059,0.000571
jeans,29,0.000283,0.002313
maxi,3,0.000029,0.000306
runs,65,0.000634,0.004671
rhinestones,24,0.000234,0.001958
saying,16,0.000156,0.001369
thinking,24,0.000234,0.001958
attractive,33,0.000322,0.002590
followed,3,0.000029,0.000306
suggestion,3,0.000029,0.000306
store,108,0.001054,0.007226
write,10,0.000098,0.000901
stiff,58,0.000566,0.004233
werent,24,0.000234,0.001958
skinny,12,0.000117,0.001060
sad,24,0.000234,0.001958
review,52,0.000508,0.003850
receive,11,0.000107,0.000981
worked,46,0.000449,0.003461
doable,3,0.000029,0.000306
typically,20,0.000195,0.001667
start,54,0.000527,0.003979
fix,15,0.000146,0.001293
issue,54,0.000527,0.003979
pulled,19,0.000185,0.001594
completely,50,0.000488,0.003721
products,24,0.000234,0.001958
advertised,23,0.000225,0.001886
useless,4,0.000039,0.000396
non,84,0.000820,0.005827
post,13,0.000127,0.001139
favor,3,0.000029,0.000306
nature,3,0.000029,0.000306
yard,17,0.000166,0.001444
design,82,0.000800,0.005707
ankle,71,0.000693,0.005041
pillows,17,0.000166,0.001444
wasnt,48,0.000469,0.003592
thrilled,14,0.000137,0.001216
painful,25,0.000244,0.002030
tough,19,0.000185,0.001594
red,39,0.000381,0.002997
mark,15,0.000146,0.001293
sandle,3,0.000029,0.000306
healing,3,0.000029,0.000306
marks,7,0.000068,0.000655
healed,4,0.000039,0.000396
pairbr,3,0.000029,0.000306
sold,12,0.000117,0.001060
biggest,4,0.000039,0.000396
floor,48,0.000469,0.003592
balance,32,0.000312,0.002521
soooooo,3,0.000029,0.000306
mother,16,0.000156,0.001369
locally,5,0.000049,0.000485
trouble,26,0.000254,0.002101
generally,18,0.000176,0.001519
switch,18,0.000176,0.001519
particularly,5,0.000049,0.000485
pants,25,0.000244,0.002030
classy,7,0.000068,0.000655
women,13,0.000127,0.001139
ask,16,0.000156,0.001369
worried,11,0.000107,0.000981
roomy,30,0.000293,0.002382
leg,26,0.000254,0.002101
taller,10,0.000098,0.000901
tall,14,0.000137,0.001216
amazed,6,0.000059,0.000571
stretches,10,0.000098,0.000901
constant,8,0.000078,0.000739
worry,16,0.000156,0.001369
rolling,5,0.000049,0.000485
ankles,31,0.000303,0.002452
priced,19,0.000185,0.001594
helps,22,0.000215,0.001814
padding,57,0.000556,0.004170
typical,18,0.000176,0.001519
close,27,0.000264,0.002172
socks,130,0.001269,0.008463
washer,5,0.000049,0.000485
damaged,5,0.000049,0.000485
notice,22,0.000215,0.001814
possible,13,0.000127,0.001139
breakin,7,0.000068,0.000655
job,109,0.001064,0.007284
teacher,11,0.000107,0.000981
important,18,0.000176,0.001519
bone,7,0.000068,0.000655
spurs,7,0.000068,0.000655
weave,7,0.000068,0.000655
space,16,0.000156,0.001369
refund,15,0.000146,0.001293
odor,7,0.000068,0.000655
penny,14,0.000137,0.001216
dissatisfied,6,0.000059,0.000571
began,18,0.000176,0.001519
rate,4,0.000039,0.000396
zero,21,0.000205,0.001741
