Number of pairs,65209.000000
Number of unique pairs,8257
Average pair frequency,7.897420
Pair entropy,8.403745

Pair,Frequency,Proportion,Entropy Term,Mutual Information
strap makes,3.000000,0.000046,0.000459,3.160540
strap broke,6.000000,0.000092,0.000855,4.626877
strap cut,3.000000,0.000046,0.000459,4.367366
strap pulled,4.000000,0.000061,0.000595,5.265957
strap ankle,3.000000,0.000046,0.000459,3.660034
strap velcro,3.000000,0.000046,0.000459,3.379420
time shoe,6.000000,0.000092,0.000855,-0.046976
time love,7.000000,0.000107,0.000981,0.216960
time great,8.000000,0.000123,0.001105,0.259942
time disappointed,3.000000,0.000046,0.000459,1.628271
time wore,16.000000,0.000245,0.002040,2.793750
time bought,10.000000,0.000153,0.001347,1.306440
time wear,15.000000,0.000230,0.001927,1.104506
time walking,3.000000,0.000046,0.000459,0.796880
time felt,3.000000,0.000046,0.000459,2.084418
time shoes,26.000000,0.000399,0.003121,0.476321
time look,3.000000,0.000046,0.000459,0.486050
time comfortable,13.000000,0.000199,0.001699,0.359033
time feet,12.000000,0.000184,0.001583,0.858890
time work,11.000000,0.000169,0.001465,0.795040
time day,4.000000,0.000061,0.000595,0.070432
time super,3.000000,0.000046,0.000459,1.062033
time summer,3.000000,0.000046,0.000459,1.955484
time wearing,8.000000,0.000123,0.001105,1.562189
time skechers,5.000000,0.000077,0.000727,0.797386
time expected,6.000000,0.000092,0.000855,1.657772
time really,4.000000,0.000061,0.000595,0.601979
time size,5.000000,0.000077,0.000727,-0.007107
time small,3.000000,0.000046,0.000459,0.903648
time definitely,3.000000,0.000046,0.000459,1.507907
time order,3.000000,0.000046,0.000459,1.350815
time tried,5.000000,0.000077,0.000727,2.262711
time pair,16.000000,0.000245,0.002040,1.339862
time toes,3.000000,0.000046,0.000459,1.055454
